PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,PDAC_PP,PDAC_PR,PDAC_OR,PDAC_TW,DC_PP,DC_PR,DC_OR,DC_TW,ABI|BAI_PP,ABI|BAI_PR,ABI|BAI_OR,ABI|BAI_TW,IIA|MEMS_PP,IIA|MEMS_PR,IIA|MEMS_OR,IIA|MEMS_TW,EI|AI_PP,EI|AI_PR,EI|AI_OR,EI|AI_TW,PEAM_PP,PEAM_PR,PEAM_OR,PEAM_TW,PI_PP,PI_PR,PI_OR,PI_TW,IA_PP,IA_PR,IA_OR,IA_TW,PW_PP,PW_PR,PW_OR,PW_TW,BI|BAI_PP,BI|BAI_PR,BI|BAI_OR,BI|BAI_TW
12345678Z,COLNAME,IC,1099,0,1099,62,0,42,22,55,0,0,44,59,0,45,0,72,0,0,0,60,0,0,0,65,0,45,20,65,38,0,0,63,0,45,0,0,0,90,95,66,0,46,0
12345678Z,COLNAME,IC,994,0,994,58,0,40,24,51,0,0,43,65,0,45,0,64,0,0,0,48,0,0,0,43,0,35,22,52,38,0,0,51,0,44,0,0,0,83,92,57,0,39,0
12345678Z,COLNAME,IC,1013,0,1013,49,0,41,23,48,0,0,44,57,0,43,0,72,0,0,0,47,0,0,0,48,0,43,22,64,39,0,0,52,0,43,0,0,0,87,95,53,0,43,0
12345678Z,COLNAME,IC,975,0,975,50,0,41,19,51,0,0,43,51,0,34,0,70,0,0,0,47,0,0,0,52,0,36,19,64,41,0,0,47,0,41,0,0,0,85,90,59,0,35,0
12345678Z,COLNAME,IC,952,0,952,44,0,40,20,40,0,0,44,62,0,38,0,63,0,0,0,47,0,0,0,54,0,35,20,51,42,0,0,40,0,42,0,0,0,85,92,52,0,41,0
12345678Z,COLNAME,IC,971,0,971,49,0,42,19,40,0,0,43,58,0,36,0,65,0,0,0,51,0,0,0,53,0,38,19,53,33,0,0,47,0,43,0,0,0,82,95,70,0,35,0
12345678Z,COLNAME,IC,893,7,900,47,0,39,20,40,0,0,41,48,0,35,0,62,0,0,0,40,0,0,0,48,0,35,19,53,34,0,0,40,0,42,0,0,0,81,89,46,0,34,0
12345678Z,COLNAME,IC,978,0,978,50,0,42,22,55,0,0,42,60,0,40,0,65,0,0,0,47,0,0,0,50,0,38,19,62,32,0,0,41,0,44,0,0,0,86,93,52,0,38,0
12345678Z,COLNAME,IC,1047,0,1047,52,0,43,23,52,0,0,44,77,0,40,0,77,0,0,0,54,0,0,0,54,0,38,23,61,43,0,0,44,0,44,0,0,0,87,93,55,0,43,0
12345678Z,COLNAME,IC,933,0,933,41,0,41,22,53,0,0,43,50,0,38,0,52,0,0,0,59,0,0,0,57,0,30,20,48,32,0,0,40,0,43,0,0,0,83,91,50,0,40,0
12345678Z,COLNAME,IC,1010,0,1010,47,0,42,22,62,0,0,43,63,0,40,0,63,0,0,0,68,0,0,0,47,0,42,20,59,32,0,0,41,0,44,0,0,0,89,89,58,0,39,0
12345678Z,COLNAME,IC,891,9,900,40,0,39,20,50,0,0,43,47,0,36,0,55,0,0,0,40,0,0,0,44,0,41,19,46,38,0,0,40,0,43,0,0,0,83,87,40,0,40,0
12345678Z,COLNAME,IC,1109,0,1109,64,0,44,24,60,0,0,45,64,0,44,0,76,0,0,0,73,0,0,0,64,0,40,23,69,37,0,0,45,0,45,0,0,0,88,90,68,0,46,0
12345678Z,COLNAME,IC,994,0,994,45,0,43,22,52,0,0,42,62,0,40,0,67,0,0,0,62,0,0,0,51,0,37,19,57,41,0,0,41,0,41,0,0,0,85,94,53,0,40,0
12345678Z,COLNAME,IC,1001,0,1001,48,0,45,23,62,0,0,43,44,0,41,0,71,0,0,0,63,0,0,0,40,0,39,23,57,38,0,0,40,0,44,0,0,0,88,93,55,0,44,0
12345678Z,COLNAME,IC,1025,0,1025,55,0,40,20,52,0,0,43,61,0,37,0,60,0,0,0,64,0,0,0,60,0,39,23,65,34,0,0,46,0,41,0,0,0,87,91,65,0,42,0
12345678Z,COLNAME,IC,951,0,951,48,0,41,19,45,0,0,42,52,0,39,0,58,0,0,0,57,0,0,0,53,0,38,19,60,32,0,0,45,0,40,0,0,0,83,94,45,0,41,0
12345678Z,COLNAME,IC,973,0,973,44,0,41,20,46,0,0,43,62,0,43,0,54,0,0,0,62,0,0,0,45,0,39,19,60,42,0,0,40,0,44,0,0,0,84,92,48,0,45,0
12345678Z,COLNAME,IC,965,0,965,51,0,40,22,40,0,0,43,57,0,37,0,68,0,0,0,56,0,0,0,47,0,38,19,54,34,0,0,46,0,41,0,0,0,82,94,57,0,39,0
12345678Z,COLNAME,IC,910,0,910,51,0,41,20,40,0,0,40,65,0,39,0,66,0,0,0,57,0,0,0,45,0,34,19,44,30,0,0,29,0,39,0,0,0,78,90,45,0,38,0
12345678Z,COLNAME,IC,921,0,921,43,0,41,21,41,0,0,43,62,0,37,0,61,0,0,0,52,0,0,0,43,0,33,19,45,33,0,0,40,0,42,0,0,0,82,92,51,0,40,0
12345678Z,COLNAME,IC,986,0,986,45,0,45,23,40,0,0,44,60,0,40,0,63,0,0,0,57,0,0,0,42,0,44,21,41,45,0,0,52,0,45,0,0,0,92,96,48,0,43,0
12345678Z,COLNAME,IC,1012,0,1012,53,0,42,20,69,0,0,44,68,0,35,0,67,0,0,0,53,0,0,0,49,0,35,19,65,39,0,0,43,0,40,0,0,0,85,91,57,0,38,0
12345678Z,COLNAME,IC,971,0,971,53,0,42,22,42,0,0,44,57,0,39,0,63,0,0,0,58,0,0,0,48,0,32,19,54,33,0,0,45,0,41,0,0,0,84,90,67,0,38,0
12345678Z,COLNAME,IC,980,0,980,53,0,41,21,50,0,0,42,61,0,39,0,65,0,0,0,48,0,0,0,60,0,39,19,48,32,0,0,43,0,43,0,0,0,85,92,60,0,39,0
12345678Z,COLNAME,IC,947,0,947,44,0,41,21,55,0,0,42,46,0,37,0,66,0,0,0,67,0,0,0,40,0,30,19,52,35,0,0,40,0,42,0,0,0,83,92,53,0,42,0
12345678Z,COLNAME,IC,942,0,942,45,0,40,19,40,0,0,42,50,0,38,0,74,0,0,0,63,0,0,0,40,0,30,19,58,40,0,0,40,0,43,0,0,0,79,90,58,0,34,0
12345678Z,COLNAME,IC,959,0,959,45,0,42,23,40,0,0,44,61,0,40,0,56,0,0,0,55,0,0,0,40,0,35,23,54,38,0,0,40,0,42,0,0,0,87,95,57,0,42,0
12345678Z,COLNAME,IC,939,0,939,44,0,43,20,51,0,0,42,62,0,42,0,59,0,0,0,51,0,0,0,40,0,35,19,50,36,0,0,29,0,41,0,0,0,86,94,56,0,39,0
12345678Z,COLNAME,IC,992,0,992,59,0,43,23,55,0,0,43,67,0,39,0,66,0,0,0,42,0,0,0,48,0,35,23,60,33,0,0,40,0,43,0,0,0,85,92,56,0,40,0
12345678Z,COLNAME,IC,942,0,942,45,0,41,23,47,0,0,42,50,0,37,0,56,0,0,0,52,0,0,0,48,0,36,20,62,36,0,0,44,0,41,0,0,0,80,91,49,0,42,0
12345678Z,COLNAME,IC,882,0,882,42,0,40,22,40,0,0,41,54,0,43,0,40,0,0,0,49,0,0,0,44,0,35,19,44,32,0,0,41,0,38,0,0,0,82,91,45,0,40,0
12345678Z,COLNAME,IC,1018,0,1018,60,0,41,21,58,0,0,41,64,0,42,0,66,0,0,0,53,0,0,0,49,0,43,19,57,33,0,0,48,0,40,0,0,0,85,92,62,0,44,0
12345678Z,COLNAME,IC,933,0,933,40,0,42,22,45,0,0,41,53,0,44,0,60,0,0,0,48,0,0,0,49,0,40,19,44,39,0,0,40,0,41,0,0,0,85,93,48,0,40,0
12345678Z,COLNAME,IC,1000,0,1000,51,0,41,22,48,0,0,43,53,0,40,0,70,0,0,0,54,0,0,0,53,0,38,19,55,43,0,0,46,0,42,0,0,0,88,92,64,0,38,0
12345678Z,COLNAME,IC,998,0,998,51,0,42,23,40,0,0,45,69,0,39,0,62,0,0,0,60,0,0,0,49,0,32,23,60,35,0,0,60,0,43,0,0,0,87,94,45,0,39,0
12345678Z,COLNAME,IC,896,4,900,40,0,42,23,46,0,0,44,49,0,38,0,48,0,0,0,53,0,0,0,40,0,30,19,41,34,0,0,40,0,42,0,0,0,82,94,52,0,39,0
12345678Z,COLNAME,IC,1074,0,1074,52,0,43,22,56,0,0,45,76,0,44,0,69,0,0,0,68,0,0,0,56,0,37,23,50,42,0,0,53,0,42,0,0,0,83,94,78,0,41,0
12345678Z,COLNAME,IC,1010,0,1010,55,0,44,24,49,0,0,45,65,0,39,0,68,0,0,0,53,0,0,0,49,0,28,19,41,42,0,0,66,0,43,0,0,0,80,91,69,0,40,0
12345678Z,COLNAME,IC,943,0,943,46,0,41,20,42,0,0,42,64,0,38,0,66,0,0,0,51,0,0,0,46,0,28,19,52,33,0,0,40,0,39,0,0,0,81,91,66,0,38,0
12345678Z,COLNAME,IC,981,0,981,55,0,41,20,44,0,0,42,53,0,40,0,72,0,0,0,52,0,0,0,48,0,30,19,60,32,0,0,56,0,41,0,0,0,85,94,61,0,36,0
12345678Z,COLNAME,IC,1006,0,1006,57,0,42,21,42,0,0,44,54,0,41,0,68,0,0,0,54,0,0,0,53,0,35,19,55,36,0,0,62,0,43,0,0,0,85,93,62,0,40,0
12345678Z,COLNAME,IC,1047,0,1047,59,0,45,24,40,0,0,43,65,0,40,0,66,0,0,0,57,0,0,0,47,0,40,20,62,38,0,0,56,0,45,0,0,0,82,93,83,0,42,0
12345678Z,COLNAME,IC,1064,0,1064,55,0,44,23,50,0,0,46,59,0,42,0,78,0,0,0,64,0,0,0,58,0,40,23,66,37,0,0,54,0,43,0,0,0,87,93,58,0,44,0
12345678Z,COLNAME,IC,1040,0,1040,56,0,41,22,42,0,0,42,70,0,41,0,69,0,0,0,60,0,0,0,59,0,29,19,64,35,0,0,55,0,42,0,0,0,84,92,75,0,43,0
12345678Z,COLNAME,IC,929,0,929,49,0,43,21,40,0,0,42,54,0,43,0,61,0,0,0,50,0,0,0,40,0,32,19,48,34,0,0,40,0,40,0,0,0,87,90,51,0,45,0
12345678Z,COLNAME,IC,981,0,981,50,0,41,21,40,0,0,42,68,0,38,0,67,0,0,0,49,0,0,0,49,0,37,23,51,35,0,0,53,0,40,0,0,0,84,93,65,0,35,0
12345678Z,COLNAME,IC,1008,0,1008,59,0,43,21,40,0,0,42,62,0,41,0,67,0,0,0,47,0,0,0,47,0,40,19,59,40,0,0,54,0,41,0,0,0,87,91,64,0,44,0
12345678Z,COLNAME,IC,898,2,900,41,0,42,22,42,0,0,41,47,0,37,0,48,0,0,0,43,0,0,0,40,0,39,21,40,36,0,0,40,0,40,0,0,0,85,95,64,0,35,0
12345678Z,COLNAME,IC,1047,0,1047,48,0,45,24,41,0,0,46,68,0,43,0,74,0,0,0,58,0,0,0,48,0,40,22,56,43,0,0,60,0,45,0,0,0,89,95,58,0,44,0
12345678Z,COLNAME,IC,976,0,976,50,0,42,20,52,0,0,43,61,0,37,0,67,0,0,0,55,0,0,0,40,0,32,19,58,40,0,0,30,0,40,0,0,0,83,93,71,0,43,0
12345678Z,COLNAME,IC,917,0,917,42,0,40,19,40,0,0,42,43,0,38,0,62,0,0,0,47,0,0,0,43,0,39,19,50,37,0,0,53,0,40,0,0,0,84,85,58,0,36,0
12345678Z,COLNAME,IC,890,10,900,40,0,41,22,40,0,0,44,40,0,43,0,59,0,0,0,42,0,0,0,40,0,39,19,42,36,0,0,40,0,43,0,0,0,82,91,43,0,44,0
12345678Z,COLNAME,IC,911,0,911,45,0,40,20,40,0,0,43,50,0,40,0,48,0,0,0,43,0,0,0,40,0,36,19,53,40,0,0,40,0,39,0,0,0,82,93,61,0,39,0
12345678Z,COLNAME,IC,946,0,946,44,0,41,19,43,0,0,42,58,0,40,0,68,0,0,0,49,0,0,0,43,0,35,19,48,41,0,0,42,0,40,0,0,0,84,90,62,0,38,0
12345678Z,COLNAME,IC,966,0,966,45,0,44,21,57,0,0,45,58,0,40,0,59,0,0,0,52,0,0,0,44,0,38,19,44,41,0,0,41,0,39,0,0,0,88,91,60,0,40,0
12345678Z,COLNAME,IC,756,0,756,25,0,39,20,27,0,0,38,40,0,37,0,40,0,0,0,40,0,0,0,40,0,30,15,46,30,0,0,40,0,38,0,0,0,71,60,40,0,40,0
12345678Z,COLNAME,IC,781,0,781,41,0,43,24,53,0,0,42,nan,0,45,0,nan,0,0,0,48,0,0,0,45,0,37,18,40,40,0,0,41,0,44,0,0,0,86,89,nan,0,45,0
12345678Z,COLNAME,IC,949,0,949,56,0,34,22,67,0,0,44,61,0,34,0,64,0,0,0,51,0,0,0,41,0,27,21,41,36,0,0,51,0,35,0,0,0,81,88,54,0,41,0
