PRN,College,Branch,TotalNoGrace,TotalGrace,SumTotal,DOM_PP,DOM_PR,DOM_OR,DOM_TW,FEM|R_PP,FEM|R_PR,FEM|R_OR,FEM|R_TW,MSD_PP,MSD_PR,MSD_OR,MSD_TW,IFP_PP,IFP_PR,IFP_OR,IFP_TW,CA_PP,CA_PR,CA_OR,CA_TW,EAAM_PP,EAAM_PR,EAAM_OR,EAAM_TW,MIS|RE_PP,MIS|RE_PR,MIS|RE_OR,MIS|RE_TW,PPE_PP,PPE_PR,PPE_OR,PPE_TW,AE_PP,AE_PR,AE_OR,AE_TW,PW_PP,PW_PR,PW_OR,PW_TW
12345678Z,COLNAME,MECH,1020,0,1020,56,0,32,18,56,0,0,42,62,0,39,21,58,0,37,21,46,34,0,20,66,0,0,18,83,0,0,0,56,0,37,18,67,0,0,0,0,0,41,92
12345678Z,COLNAME,MECH,930,0,930,52,0,35,20,51,0,0,25,60,0,39,19,63,0,31,18,47,25,0,16,57,0,0,18,57,0,0,0,54,0,39,19,53,0,0,0,0,0,40,92
12345678Z,COLNAME,MECH,980,0,980,49,0,38,23,50,0,0,32,65,0,43,22,47,0,39,22,50,40,0,22,55,0,0,21,67,0,0,0,46,0,42,21,51,0,0,0,0,0,40,95
12345678Z,COLNAME,MECH,980,0,980,49,0,38,23,56,0,0,40,40,0,39,20,57,0,39,22,45,42,0,23,57,0,0,21,61,0,0,0,55,0,40,20,54,0,0,0,0,0,45,94
12345678Z,COLNAME,MECH,901,0,901,49,0,37,20,40,0,0,28,56,0,37,19,53,0,35,20,41,36,0,20,51,0,0,20,75,0,0,0,40,0,30,15,54,0,0,0,0,0,38,87
12345678Z,COLNAME,MECH,1068,0,1068,62,0,39,23,54,0,0,35,65,0,42,21,62,0,41,23,57,40,0,21,64,0,0,23,78,0,0,0,42,0,46,23,73,0,0,0,0,0,42,92
12345678Z,COLNAME,MECH,975,0,975,43,0,37,21,62,0,0,40,51,0,38,19,63,0,32,19,47,34,0,20,52,0,0,18,72,0,0,0,44,0,42,21,67,0,0,0,0,0,43,90
12345678Z,COLNAME,MECH,1095,0,1095,57,0,38,22,69,0,0,46,58,0,40,20,68,0,41,23,62,43,0,24,61,0,0,18,74,0,0,0,60,0,46,23,74,0,0,0,0,0,45,83
12345678Z,COLNAME,MECH,1039,0,1039,59,0,40,21,69,0,0,42,56,0,36,18,64,0,35,19,55,36,0,20,60,0,0,19,71,0,0,0,61,0,41,20,65,0,0,0,0,0,41,91
12345678Z,COLNAME,MECH,859,0,859,40,0,36,20,49,0,0,38,40,0,30,15,41,0,30,19,45,37,0,22,48,0,0,18,46,0,0,0,43,0,40,20,58,0,0,0,0,0,41,83
12345678Z,COLNAME,MECH,1103,0,1103,62,0,38,23,63,0,0,38,70,0,39,20,73,0,42,23,67,28,0,16,60,0,0,24,80,0,0,0,56,0,46,23,70,0,0,0,0,0,46,96
12345678Z,COLNAME,MECH,838,0,838,40,0,36,19,40,0,0,36,47,0,22,11,56,0,32,18,40,24,0,14,50,0,0,19,43,0,0,0,54,0,40,20,49,0,0,0,0,0,40,88
12345678Z,COLNAME,MECH,947,0,947,44,0,37,22,40,0,0,40,70,0,36,18,60,0,35,20,51,30,0,17,57,0,0,21,53,0,0,0,47,0,40,20,52,0,0,0,0,0,45,92
12345678Z,COLNAME,MECH,933,0,933,47,0,38,20,43,0,0,39,68,0,37,19,51,0,33,19,57,30,0,17,53,0,0,20,56,0,0,0,50,0,34,17,51,0,0,0,0,0,42,92
12345678Z,COLNAME,MECH,1112,0,1112,72,0,40,21,68,0,0,35,83,0,41,21,71,0,32,20,61,38,0,21,70,0,0,21,69,0,0,0,68,0,40,20,68,0,0,0,0,0,41,91
12345678Z,COLNAME,MECH,1012,0,1012,51,0,38,20,54,0,0,41,75,0,37,19,58,0,27,17,51,38,0,21,69,0,0,19,73,0,0,0,52,0,41,22,56,0,0,0,0,0,43,90
12345678Z,COLNAME,MECH,1076,0,1076,51,0,37,20,63,0,0,38,84,0,42,21,68,0,35,19,57,34,0,19,79,0,0,18,71,0,0,0,57,0,43,23,67,0,0,0,0,0,42,88
12345678Z,COLNAME,MECH,876,0,876,46,0,36,21,44,0,0,40,62,0,28,14,48,0,27,18,48,22,0,14,43,0,0,17,70,0,0,0,40,0,36,18,56,0,0,0,0,0,40,88
12345678Z,COLNAME,MECH,902,0,902,40,0,38,20,45,0,0,42,40,0,37,18,51,0,39,21,40,28,0,14,60,0,0,17,63,0,0,0,40,0,40,20,56,0,0,0,0,0,43,90
12345678Z,COLNAME,MECH,996,0,996,58,0,37,21,44,0,0,40,60,0,38,19,60,0,32,18,59,30,0,17,61,0,0,17,77,0,0,0,47,0,42,21,64,0,0,0,0,0,42,92
12345678Z,COLNAME,MECH,1042,0,1042,66,0,36,19,45,0,0,42,75,0,42,21,57,0,38,21,54,38,0,21,62,0,0,18,79,0,0,0,52,0,44,22,50,0,0,0,0,0,45,95
12345678Z,COLNAME,MECH,1055,0,1055,60,0,38,20,60,0,0,43,66,0,38,19,70,0,38,21,54,35,0,19,70,0,0,19,69,0,0,0,58,0,40,20,68,0,0,0,0,0,42,88
12345678Z,COLNAME,MECH,1066,0,1066,45,0,37,19,59,0,0,40,71,0,40,20,76,0,37,21,65,38,0,21,73,0,0,19,66,0,0,0,54,0,40,21,75,0,0,0,0,0,41,88
12345678Z,COLNAME,MECH,923,0,923,51,0,39,20,44,0,0,41,29,0,41,21,50,0,38,21,47,25,0,14,62,0,0,20,66,0,0,0,44,0,44,22,47,0,0,0,0,0,45,92
12345678Z,COLNAME,MECH,836,0,836,40,0,35,18,40,0,0,38,40,0,37,19,45,0,31,18,40,23,0,14,52,0,0,17,59,0,0,0,44,0,42,21,42,0,0,0,0,0,40,81
12345678Z,COLNAME,MECH,890,10,900,41,0,25,19,53,0,0,42,52,0,30,15,55,0,28,18,43,35,0,20,52,0,0,17,59,0,0,0,44,0,40,21,61,0,0,0,0,0,42,78
12345678Z,COLNAME,MECH,967,0,967,40,0,36,22,47,0,0,44,42,0,35,18,63,0,35,20,59,30,0,17,62,0,0,21,54,0,0,0,53,0,42,22,72,0,0,0,0,0,41,92
12345678Z,COLNAME,MECH,996,0,996,55,0,40,23,62,0,0,42,61,0,41,21,56,0,32,19,58,24,0,14,62,0,0,18,70,0,0,0,63,0,39,20,58,0,0,0,0,0,38,80
12345678Z,COLNAME,MECH,1006,0,1006,53,0,35,20,70,0,0,40,79,0,39,20,61,0,36,20,44,22,0,14,70,0,0,19,63,0,0,0,51,0,37,19,62,0,0,0,0,0,42,90
12345678Z,COLNAME,MECH,1061,0,1061,70,0,39,21,68,0,0,41,72,0,41,20,66,0,38,21,52,35,0,20,73,0,0,19,65,0,0,0,40,0,40,21,63,0,0,0,0,0,43,93
12345678Z,COLNAME,MECH,985,0,985,60,0,39,20,57,0,0,40,75,0,37,19,46,0,38,21,40,30,0,17,66,0,0,17,76,0,0,0,53,0,40,20,54,0,0,0,0,0,40,80
12345678Z,COLNAME,MECH,895,0,895,50,0,35,19,53,0,0,38,nan,0,36,18,65,0,40,22,58,40,0,22,73,0,0,17,74,0,0,0,nan,0,43,22,65,0,0,0,0,0,30,75
12345678Z,COLNAME,MECH,939,0,939,52,0,38,19,53,0,0,36,64,0,21,12,50,0,38,21,56,38,0,21,53,0,0,18,61,0,0,0,50,0,38,19,56,0,0,0,0,0,38,87
12345678Z,COLNAME,MECH,938,0,938,41,0,36,19,46,0,0,25,68,0,34,17,53,0,34,19,44,35,0,19,67,0,0,19,59,0,0,0,49,0,38,19,63,0,0,0,0,0,41,93
12345678Z,COLNAME,MECH,935,0,935,53,0,38,20,45,0,0,26,60,0,35,18,49,0,35,20,52,26,0,14,56,0,0,16,69,0,0,0,46,0,40,20,69,0,0,0,0,0,40,88
12345678Z,COLNAME,MECH,980,0,980,45,0,35,21,49,0,0,42,67,0,36,18,47,0,37,21,43,36,0,20,62,0,0,17,78,0,0,0,50,0,44,23,51,0,0,0,0,0,44,94
12345678Z,COLNAME,MECH,859,0,859,40,0,37,22,44,0,0,40,40,0,35,17,43,0,28,17,40,25,0,14,49,0,0,17,72,0,0,0,43,0,42,21,46,0,0,0,0,0,42,85
12345678Z,COLNAME,MECH,992,0,992,44,0,37,22,53,0,0,38,71,0,34,17,55,0,27,17,59,30,0,18,58,0,0,18,74,0,0,0,61,0,40,21,63,0,0,0,0,0,40,95
12345678Z,COLNAME,MECH,997,0,997,45,0,40,23,66,0,0,42,56,0,36,18,60,0,33,18,45,27,0,15,61,0,0,18,58,0,0,0,76,0,41,22,60,0,0,0,0,0,43,94
12345678Z,COLNAME,MECH,1021,0,1021,54,0,39,22,67,0,0,44,66,0,33,17,71,0,33,18,40,30,0,17,67,0,0,17,74,0,0,0,60,0,39,20,62,0,0,0,0,0,40,91
12345678Z,COLNAME,MECH,980,0,980,53,0,37,18,63,0,0,42,67,0,40,20,49,0,33,18,44,25,0,14,67,0,0,19,66,0,0,0,56,0,38,20,56,0,0,0,0,0,42,93
12345678Z,COLNAME,MECH,933,0,933,40,0,39,21,60,0,0,38,51,0,41,21,47,0,34,19,52,24,0,14,47,0,0,20,59,0,0,0,59,0,44,22,51,0,0,0,0,0,41,89
12345678Z,COLNAME,MECH,1049,0,1049,52,0,38,22,57,0,0,40,63,0,40,20,56,0,37,21,57,36,0,20,68,0,0,21,67,0,0,0,76,0,42,21,64,0,0,0,0,0,42,89
12345678Z,COLNAME,MECH,724,0,724,15,0,35,18,40,0,0,46,19,0,24,12,40,0,25,17,48,20,0,14,53,0,0,13,40,0,0,0,42,0,28,16,49,0,0,0,0,0,30,80
12345678Z,COLNAME,MECH,1024,0,1024,48,0,37,18,61,0,0,40,63,0,22,11,58,0,37,21,52,34,0,19,74,0,0,20,75,0,0,0,75,0,42,21,66,0,0,0,0,0,43,87
12345678Z,COLNAME,MECH,1076,0,1076,60,0,35,20,65,0,0,38,68,0,36,18,56,0,38,21,63,36,0,19,70,0,0,20,83,0,0,0,70,0,44,22,62,0,0,0,0,0,42,90
12345678Z,COLNAME,MECH,1056,0,1056,58,0,37,21,61,0,0,40,58,0,41,21,72,0,39,22,48,30,0,17,73,0,0,19,69,0,0,0,72,0,38,20,66,0,0,0,0,0,42,92
12345678Z,COLNAME,MECH,1064,0,1064,70,0,37,21,79,0,0,41,60,0,35,18,60,0,38,21,53,27,0,15,70,0,0,18,80,0,0,0,65,0,40,21,65,0,0,0,0,0,42,88
12345678Z,COLNAME,MECH,975,0,975,43,0,37,21,72,0,0,39,61,0,39,20,46,0,38,21,49,24,0,14,67,0,0,19,58,0,0,0,65,0,43,22,55,0,0,0,0,0,38,84
12345678Z,COLNAME,MECH,1023,0,1023,54,0,36,20,75,0,0,42,54,0,38,19,61,0,39,22,40,38,0,21,67,0,0,19,67,0,0,0,67,0,38,20,55,0,0,0,0,0,40,91
12345678Z,COLNAME,MECH,919,0,919,48,0,35,18,56,0,0,42,40,0,39,20,51,0,37,21,47,27,0,15,55,0,0,18,58,0,0,0,54,0,38,20,49,0,0,0,0,0,41,90
12345678Z,COLNAME,MECH,1109,0,1109,60,0,42,22,71,0,0,45,62,0,35,18,64,0,42,23,64,36,0,20,71,0,0,21,78,0,0,0,74,0,36,20,74,0,0,0,0,0,43,88
12345678Z,COLNAME,MECH,799,0,799,40,0,30,18,48,0,0,42,40,0,25,13,46,0,33,19,40,22,0,14,47,0,0,19,47,0,0,0,45,0,32,18,40,0,0,0,0,0,36,85
12345678Z,COLNAME,MECH,928,0,928,60,0,38,21,59,0,0,40,40,0,36,18,52,0,37,21,52,24,0,14,42,0,0,19,59,0,0,0,51,0,40,21,61,0,0,0,0,0,41,82
12345678Z,COLNAME,MECH,1175,0,1175,58,0,42,22,78,0,0,45,74,0,40,20,80,0,43,23,73,38,0,21,68,0,0,21,86,0,0,0,73,0,43,23,76,0,0,0,0,0,39,89
12345678Z,COLNAME,MECH,950,0,950,40,0,38,20,55,0,0,42,47,0,35,18,48,0,35,20,50,36,0,20,63,0,0,20,61,0,0,0,51,0,36,19,63,0,0,0,0,0,41,92
12345678Z,COLNAME,MECH,704,0,704,31,0,36,20,43,0,0,38,18,0,24,12,21,0,31,19,27,23,0,15,49,0,0,19,30,0,0,0,30,0,35,18,43,0,0,0,0,0,30,92
12345678Z,COLNAME,MECH,934,0,934,40,0,39,22,62,0,0,38,43,0,38,19,48,0,34,19,42,27,0,16,64,0,0,19,54,0,0,0,65,0,36,18,54,0,0,0,0,0,44,93
12345678Z,COLNAME,MECH,966,0,966,65,0,37,21,51,0,0,40,48,0,37,19,48,0,32,18,46,25,0,15,68,0,0,19,58,0,0,0,65,0,34,19,68,0,0,0,0,0,42,91
12345678Z,COLNAME,MECH,1040,0,1040,44,0,39,22,75,0,0,42,56,0,40,20,53,0,38,21,62,32,0,18,68,0,0,18,81,0,0,0,57,0,35,20,71,0,0,0,0,0,39,89
12345678Z,COLNAME,MECH,978,0,978,59,0,38,21,67,0,0,42,41,0,34,17,48,0,36,20,40,33,0,19,65,0,0,19,69,0,0,0,60,0,42,21,57,0,0,0,0,0,40,90
12345678Z,COLNAME,MECH,579,0,579,nan,0,36,18,49,0,0,40,nan,0,21,11,nan,0,33,19,nan,21,0,15,55,0,0,18,nan,0,0,0,54,0,40,21,nan,0,0,0,0,0,41,87
12345678Z,COLNAME,MECH,1039,0,1039,40,0,37,22,74,0,0,35,43,0,39,20,60,0,34,19,67,38,0,21,68,0,0,21,75,0,0,0,68,0,44,23,61,0,0,0,0,0,40,90
12345678Z,COLNAME,MECH,794,0,794,nan,0,35,19,51,0,0,40,40,0,37,18,48,0,38,21,45,21,0,14,53,0,0,19,40,0,0,0,24,0,36,20,50,0,0,0,0,0,35,90
12345678Z,COLNAME,MECH,889,0,889,40,0,33,22,40,0,0,42,44,0,38,20,45,0,30,20,47,37,0,23,50,0,0,22,60,0,0,0,53,0,39,20,48,0,0,0,0,0,36,80
12345678Z,COLNAME,MECH,467,0,467,23,0,nan,nan,40,0,0,41,26,0,30,22,nan,0,nan,nan,nan,28,0,12,nan,0,0,nan,45,0,0,0,nan,0,22,19,44,0,0,0,0,0,30,85
12345678Z,COLNAME,MECH,834,0,834,nan,0,36,19,42,0,0,40,40,0,38,19,45,0,33,18,40,22,0,21,50,0,0,20,61,0,0,0,51,0,37,19,54,0,0,0,0,0,39,90
12345678Z,COLNAME,MECH,874,0,874,31,0,28,19,56,0,0,41,40,0,35,17,50,0,39,20,40,34,0,20,52,0,0,19,60,0,0,0,41,0,39,19,47,0,0,0,0,0,40,87
12345678Z,COLNAME,MECH,887,0,887,44,0,38,19,44,0,0,37,44,0,30,16,50,0,36,18,48,31,0,20,63,0,0,19,40,0,0,0,49,0,40,20,54,0,0,0,0,0,38,89
12345678Z,COLNAME,MECH,896,4,900,40,0,35,18,49,0,0,37,40,0,40,20,53,0,36,18,41,33,0,17,51,0,0,18,56,0,0,0,53,0,38,19,51,0,0,0,0,0,44,89
12345678Z,COLNAME,MECH,864,0,864,30,0,36,19,42,0,0,40,40,0,38,19,45,0,33,18,40,22,0,21,50,0,0,20,61,0,0,0,51,0,37,19,54,0,0,0,0,0,39,90
12345678Z,COLNAME,MECH,852,0,852,31,0,35,18,40,0,0,36,50,0,38,19,48,0,33,17,40,33,0,21,55,0,0,20,40,0,0,0,40,0,37,18,51,0,0,0,0,0,42,90
